Marca temporal,¿Cuál es tu género?,¿Cuál es tu edad?,¿Compraste online alguna vez?,"En una escala del 1 al 10, siendo 1 casi nunca o nulo y 10 mucho, ¿Con que frecuencia realizas una compra online?",¿Cuál de estas opciones elegís a la hora de comprar?,"Si soles comprar frecuentemente, ¿Cuál es la principal razón?","Si no soles comprar frecuentemente, ¿Cuál es la principal razón?","En una escala del 1 al 10, siendo 1 una experiencia negativa y 10 positiva, ¿Qué tan fácil y práctico te resulta este método de consumo? ",¿A través de que página o plataforma realizas la compra?,¿Qué tipo de producto consumís más online?,En caso de que compres online ¿En qué año compraste más?
30/5/2022 16:37:53,Mujer,18 - 25,Sí,5,"Empresas, Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,7,"Mercado libre, Instagram, Sitio web propio","Ropa, Productos para la actividad física, Accesorios, Tecnología",En el 2020
30/5/2022 16:51:03,Mujer,18 - 25,Sí,6,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,8,"Mercado libre, Sitio web propio","Ropa, Productos para el hogar, Tecnología",Entre el 2021 - 2022
30/5/2022 17:15:20,Varón,18 - 25,Sí,5,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,8,Mercado libre,Accesorios,En el 2020
30/5/2022 17:21:21,Mujer,18 - 25,Sí,4,Empresas,Ahorro tiempo,Prefiero acercarme al comercio y contar con la opinión de un vendedor,6,Sitio web propio,Tecnología,Entre 2016 - 2019
30/5/2022 17:35:02,Varón,18 - 25,Sí,2,Empresas,,Prefiero ver el producto antes de comprar,5,Mercado libre,"Tecnología, Educación",En el 2020
30/5/2022 17:35:59,Varón,18 - 25,Sí,9,"Empresas, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,8,"Marketplace, Facebook, Instagram, Sitio web propio","Ropa, Alimentos, Calzado, Accesorios, Tecnología, Servicios",Entre el 2021 - 2022
30/5/2022 17:36:01,Varón,18 - 25,Sí,2,"Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",,,6,"WhatsApp, Mercado libre, Instagram","Productos para el hogar, Electrodomésticos, Juegos y juguetes, Tecnología",En el 2020
30/5/2022 17:41:39,Varón,18 - 25,Sí,2,"Por plataformas de venta online (MercadoLibre, etc)",Mayor disponibilidad de stock online,,8,Mercado libre,"Ropa, Accesorios",Entre 2016 - 2019
30/5/2022 17:46:04,Varón,18 - 25,Sí,6,"Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,,10,Mercado libre,"Calzado, Accesorios, Tecnología",Entre el 2021 - 2022
30/5/2022 18:20:57,Varón,18 - 25,Sí,5,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,Prefiero ver el producto antes de comprar,10,"Mercado libre, Marketplace, Sitio web propio","Ropa, Alimentos, Calzado, Productos para el hogar, Electrodomésticos, Juegos y juguetes, Productos para la actividad física, Accesorios, Tecnología, Servicios, Educación",Entre el 2021 - 2022
30/5/2022 18:57:26,Mujer,18 - 25,Sí,5,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos)",Posibilidad de hacerlo en cualquier momento y lugar,,5,"Instagram, Sitio web propio","Ropa, Cosméticos y productos de farmacia",Entre el 2021 - 2022
30/5/2022 19:27:07,Varón,46 - 55,Sí,8,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,,8,Mercado libre,"Ropa, Alimentos, Productos para el hogar, Electrodomésticos, Tecnología",Entre el 2021 - 2022
30/5/2022 20:46:11,Mujer,46 - 55,Sí,10,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,,9,"WhatsApp, Mercado libre, Sitio web propio","Ropa, Alimentos, Calzado, Productos para el hogar, Electrodomésticos, Accesorios, Tecnología, Servicios",Entre el 2021 - 2022
31/5/2022 8:06:30,Varón,18 - 25,Sí,5,"Empresas, Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,Verificar la calidad,7,"WhatsApp, Mercado libre, Sitio web propio","Ropa, Tecnología, Servicios",En el 2020
31/5/2022 8:08:30,Varón,18 - 25,Sí,4,"Empresas, Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Prefiero ver el producto antes de comprar,7,"Mercado libre, Instagram","Ropa, Alimentos, Calzado, Productos para el hogar, Accesorios, Tecnología",Entre el 2021 - 2022
31/5/2022 8:22:13,Mujer,18 - 25,Sí,5,"Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,8,Sitio web propio,"Ropa, Cosméticos y productos de farmacia, Servicios, Educación",En el 2020
31/5/2022 8:23:22,Mujer,18 - 25,Sí,6,Emprendedores,Mayor disponibilidad de stock online,,9,"Instagram, Sitio web propio",Ropa,Entre el 2021 - 2022
31/5/2022 8:24:01,Mujer,18 - 25,No,2,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,7,Instagram,Ropa,Entre el 2021 - 2022
31/5/2022 8:24:01,Varón,18 - 25,Sí,5,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",Ahorro tiempo,Prefiero ver el producto antes de comprar,10,"WhatsApp, Mercado libre, Instagram, Sitio web propio","Ropa, Productos para el hogar, Accesorios, Tecnología",Entre el 2021 - 2022
31/5/2022 8:24:48,Mujer,18 - 25,Sí,7,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)","Ahorro tiempo, es mas cómodo y me garantizo de que va a llegar cuando quiero. ",,9,"Mercado libre, Instagram, Sitio web propio","Ropa, Elementos para la facultad ",Entre el 2021 - 2022
31/5/2022 8:25:33,Mujer,26 - 35,Sí,3,"Todos, pero principalmente que sepa que es confiable poner la tarjeta. Primero investigo.",,Verificar la calidad,10,"Mercado libre, Sitio web propio",Alimentos,Entre el 2021 - 2022
31/5/2022 8:29:55,Mujer,18 - 25,Sí,3,"Emprendedores, Por plataformas de venta online (MercadoLibre, etc)",,Prefiero ver el producto antes de comprar,3,Sitio web propio,Ropa,Entre 2016 - 2019
31/5/2022 8:31:29,Varón,18 - 25,No,4,"Por plataformas de venta online (MercadoLibre, etc)",Comodidad,Verificar la calidad,7,Mercado libre,"Productos para el hogar, Electrodomésticos, Tecnología",Entre el 2021 - 2022
31/5/2022 8:33:39,Mujer,17 o menos,Sí,6,"Empresas, Emprendedores, Conocidos con pequeños emprendimientos (familiar, amigos), Por plataformas de venta online (MercadoLibre, etc)",Posibilidad de hacerlo en cualquier momento y lugar,Prefiero ver el producto antes de comprar,8,"Mercado libre, Instagram, Sitio web propio","Ropa, Cosméticos y productos de farmacia, Tecnología",En el 2020
31/5/2022 8:36:03,Mujer,46 - 55,Sí,5,Empresas,Descuentos,Descuentos,5,"Instagram, Sitio web propio","Alimentos, Cosméticos y productos de farmacia",En el 2020
